row,col,r,c,value,status
2012,CiU,1,1,1112605,
2012,PSC,1,2,523537,
2012,PP,1,3,470759,
2012,IC,1,4,358860,
2012,ERC,1,5,496466,
2012,C's,1,6,274652,
2012,CUP,1,7,126198,
2012,"Altres candidatures",1,8,209729,
2012,Total,1,9,3572806,
2010,CiU,2,1,1198193,
2010,PSC,2,2,570405,
2010,PP,2,3,384470,
2010,IC,2,4,229853,
2010,ERC,2,5,218152,
2010,C's,2,6,105884,
2010,CUP,2,7,,z
2010,"Altres candidatures",2,8,314503,
2010,Total,2,9,3021460,
2006,CiU,3,1,928936,
2006,PSC,3,2,789956,
2006,PP,3,3,313368,
2006,IC,3,4,281405,
2006,ERC,3,5,414044,
2006,C's,3,6,89544,
2006,CUP,3,7,,z
2006,"Altres candidatures",3,8,68640,
2006,Total,3,9,2885893,
2003,CiU,4,1,1018164,
2003,PSC,4,2,1026396,
2003,PP,4,3,390882,
2003,IC,4,4,240235,
2003,ERC,4,5,542046,
2003,C's,4,6,,z
2003,CUP,4,7,,z
2003,"Altres candidatures",4,8,44018,
2003,Total,4,9,3261741,
1999,CiU,5,1,1172721,
1999,PSC,5,2,1177777,
1999,PP,5,3,295765,
1999,IC,5,4,78213,
1999,ERC,5,5,270176,
1999,C's,5,6,,z
1999,CUP,5,7,,z
1999,"Altres candidatures",5,8,87084,
1999,Total,5,9,3081736,
1995,CiU,6,1,1314548,
1995,PSC,6,2,797422,
1995,PP,6,3,420341,
1995,IC,6,4,312371,
1995,ERC,6,5,304833,
1995,C's,6,6,,z
1995,CUP,6,7,,z
1995,"Altres candidatures",6,8,28720,
1995,Total,6,9,3178235,
1992,CiU,7,1,1218831,
1992,PSC,7,2,726099,
1992,PP,7,3,157395,
1992,IC,7,4,171455,
1992,ERC,7,5,209881,
1992,C's,7,6,,z
1992,CUP,7,7,,z
1992,"Altres candidatures",7,8,122320,
1992,Total,7,9,2605981,
1988,CiU,8,1,1230356,
1988,PSC,8,2,800999,
1988,PP,8,3,143062,
1988,IC,8,4,208689,
1988,ERC,8,5,111276,
1988,C's,8,6,,z
1988,CUP,8,7,,z
1988,"Altres candidatures",8,8,178741,
1988,Total,8,9,2673123,
1984,CiU,9,1,1345513,
1984,PSC,9,2,865449,
1984,PP,9,3,221697,
1984,IC,9,4,160586,
1984,ERC,9,5,126865,
1984,C's,9,6,,z
1984,CUP,9,7,,z
1984,"Altres candidatures",9,8,142011,
1984,Total,9,9,2862121,
1980,CiU,10,1,754448,
1980,PSC,10,2,608689,
1980,PP,10,3,64119,
1980,IC,10,4,509014,
1980,ERC,10,5,241711,
1980,C's,10,6,,z
1980,CUP,10,7,,z
1980,"Altres candidatures",10,8,516005,
1980,Total,10,9,2693986,
